"","Type","Degree","Betweenness","Closeness"
"483","Sample Seed 2",1,0,2.14681648583316e-06
"484","Sample Seed 2",1,0,2.14681648583316e-06
"485","Sample Seed 2",1,0,2.14681648583316e-06
"486","Sample Seed 2",1,0,2.14681648583316e-06
"487","Sample Seed 2",1,0,2.14681648583316e-06
"488","Sample Seed 2",1,0,2.14681648583316e-06
"489","Sample Seed 2",1,0,2.14681648583316e-06
"490","Sample Seed 2",1,0,2.14681648583316e-06
"491","Sample Seed 2",1,0,2.14681648583316e-06
"492","Sample Seed 2",1,0,2.14681648583316e-06
"493","Sample Seed 2",1,0,2.14681648583316e-06
"494","Sample Seed 2",1,0,2.14681648583316e-06
"495","Sample Seed 2",1,0,2.14681648583316e-06
"496","Sample Seed 2",1,0,2.14681648583316e-06
"497","Sample Seed 2",1,0,2.14681648583316e-06
"498","Sample Seed 2",1,0,2.14681648583316e-06
"499","Sample Seed 2",1,0,2.14681648583316e-06
"500","Sample Seed 2",1,0,2.14681648583316e-06
"501","Sample Seed 2",1,0,2.14681648583316e-06
"502","Sample Seed 2",1,0,2.14681648583316e-06
"503","Sample Seed 2",1,0,2.14681648583316e-06
"504","Sample Seed 2",1,0,2.14681648583316e-06
"505","Sample Seed 2",1,0,2.14681648583316e-06
"506","Sample Seed 2",1,0,2.14681648583316e-06
"507","Sample Seed 2",1,0,2.14681648583316e-06
"508","Sample Seed 2",1,0,2.14681648583316e-06
"509","Sample Seed 2",1,0,2.14681648583316e-06
"510","Sample Seed 2",1,0,2.14681648583316e-06
"511","Sample Seed 2",1,0,2.14681648583316e-06
"512","Sample Seed 2",1,0,2.14681648583316e-06
"513","Sample Seed 2",1,0,2.14681648583316e-06
"514","Sample Seed 2",1,0,2.14681648583316e-06
